"Data Source","Country/Region Name","Product Name","Element Name","Units","Year","Value"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2014/15","45.973133"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2013/14","44.896331"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2012/13","45.029221"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2011/12","47.925364"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2010/11","45.897515"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2009/10","38.07325"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2008/09","43.496797"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2007/08","41.578047"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2006/07","36.059849"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2005/06","36.150231"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2004/05","36.7886"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2003/04","38.5557"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2002/03","28.6302"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2001/02","34.6626"
"CBS","India","COARSE GRAINS","Supply","Million tonnes","2000/01","32.0976"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2018/19","49.031564"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2017/18","48.402154"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2016/17","45.179082"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2015/16","45.458975"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2014/15","45.983221"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2013/14","44.907331"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2012/13","45.074221"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2011/12","47.929444"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2010/11","45.918225"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2009/10","38.09968"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2008/09","43.507377"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2007/08","41.582317"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2006/07","36.064149"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2005/06","36.228241"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2004/05","36.8933"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2003/04","38.7177"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2002/03","28.7592"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2001/02","34.8256"
"CBS","India","COARSE GRAINS","Total Supply","Million tonnes","2000/01","32.2753"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2018/19","49.031564"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2017/18","48.402154"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2016/17","45.179082"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2015/16","45.458975"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2014/15","45.983221"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2013/14","44.907331"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2012/13","45.074221"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2011/12","47.929444"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2010/11","45.918225"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2009/10","38.09968"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2008/09","43.507377"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2007/08","41.582317"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2006/07","36.064149"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2005/06","36.228241"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2004/05","36.8933"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2003/04","38.7179"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2002/03","28.7592"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2001/02","34.8255"
"CBS","India","COARSE GRAINS","Total Utilization","Million tonnes","2000/01","32.2753"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2018/19","47.009"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2017/18","45.31943"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2016/17","43.024071"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2015/16","41.590374"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2014/15","40.191664"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2013/14","37.234"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2012/13","36.769"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2011/12","38.80452"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2010/11","37.49473"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2009/10","33.12762"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2008/09","36.82516"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2007/08","35.09279"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2006/07","33.98033"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2005/06","33.273587"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2004/05","34.29162"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2003/04","34.9446"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2002/03","27.836"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2001/02","32.162"
"CBS","India","COARSE GRAINS","Utilization","Million tonnes","2000/01","30.9953"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2018/19","1.615"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2017/18","1.681"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2016/17","1.694"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2015/16","1.672"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2014/15","1.691"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2013/14","1.654"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2012/13","1.541"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2011/12","1.564"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2010/11","1.498"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2009/10","1.252"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2008/09","1.459"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2007/08","1.386"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2006/07","1.178"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2005/06","1.172"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2004/05","1.196"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2003/04","1.223"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2002/03","0.968"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2001/02","1.126"
"CBS","India","COARSE GRAINS","Yield","Tonnes/Ha","2000/01","1.03"
"CBS","India","Maize","Exports","Million tonnes","2018/19","0.6"
"CBS","India","Maize","Exports","Million tonnes","2017/18","0.83334"
"CBS","India","Maize","Exports","Million tonnes","2016/17","0.509"
"CBS","India","Maize","Exports","Million tonnes","2015/16","0.638"
"CBS","India","Maize","Exports","Million tonnes","2014/15","1.50101"
"CBS","India","Maize","Exports","Million tonnes","2013/14","4.163"
"CBS","India","Maize","Exports","Million tonnes","2012/13","4.964"
"CBS","India","Maize","Exports","Million tonnes","2011/12","4.07"
"CBS","India","Maize","Exports","Million tonnes","2010/11","2.97862"
"CBS","India","Maize","Exports","Million tonnes","2009/10","2.60082"
"CBS","India","Maize","Exports","Million tonnes","2008/09","3.5373"
"CBS","India","Maize","Exports","Million tonnes","2007/08","2.7277"
"CBS","India","Maize","Exports","Million tonnes","2006/07","0.63723"
"CBS","India","Maize","Exports","Million tonnes","2005/06","0.3"
"CBS","India","Maize","Exports","Million tonnes","2004/05","0.3"
"CBS","India","Maize","Exports","Million tonnes","2003/04","0.5433"
"CBS","India","Maize","Exports","Million tonnes","2002/03","0.0782"
"CBS","India","Maize","Exports","Million tonnes","2001/02","0.1135"
"CBS","India","Maize","Exports","Million tonnes","2000/01","0.0"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2018/19","0.61"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2017/18","1.0"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2016/17","0.517452"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2015/16","0.63112"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2014/15","1.201276"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2013/14","3.893198"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2012/13","4.9824"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2011/12","4.494023"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2010/11","3.376561"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2009/10","1.877065"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2008/09","2.596647"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2007/08","2.7277"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2006/07","0.524882"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2005/06","0.503405"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2004/05","0.454449"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2003/04","0.5433"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2002/03","0.0782"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2001/02","0.1135"
"CBS","India","Maize","Exports (NMY)","Million tonnes","2000/01","0.0"
"CBS","India","Maize","Feed Use","Million tonnes","2018/19","12.5"
"CBS","India","Maize","Feed Use","Million tonnes","2017/18","11.5"
"CBS","India","Maize","Feed Use","Million tonnes","2016/17","10.0"
"CBS","India","Maize","Feed Use","Million tonnes","2015/16","8.8"
"CBS","India","Maize","Feed Use","Million tonnes","2014/15","9.0"
"CBS","India","Maize","Feed Use","Million tonnes","2013/14","7.5"
"CBS","India","Maize","Feed Use","Million tonnes","2012/13","6.5"
"CBS","India","Maize","Feed Use","Million tonnes","2011/12","6.2"
"CBS","India","Maize","Feed Use","Million tonnes","2010/11","6.5"
"CBS","India","Maize","Feed Use","Million tonnes","2009/10","3.5"
"CBS","India","Maize","Feed Use","Million tonnes","2008/09","5.5"
"CBS","India","Maize","Feed Use","Million tonnes","2007/08","5.0"
"CBS","India","Maize","Feed Use","Million tonnes","2006/07","4.5"
"CBS","India","Maize","Feed Use","Million tonnes","2005/06","4.0"
"CBS","India","Maize","Feed Use","Million tonnes","2004/05","3.545"
"CBS","India","Maize","Feed Use","Million tonnes","2003/04","3.7461"
"CBS","India","Maize","Feed Use","Million tonnes","2002/03","2.7879"
"CBS","India","Maize","Feed Use","Million tonnes","2001/02","3.29"
"CBS","India","Maize","Feed Use","Million tonnes","2000/01","5.15"
"CBS","India","Maize","Food Use","Million tonnes","2018/19","9.5"
"CBS","India","Maize","Food Use","Million tonnes","2017/18","9.5"
"CBS","India","Maize","Food Use","Million tonnes","2016/17","9.1"
"CBS","India","Maize","Food Use","Million tonnes","2015/16","9.0"
"CBS","India","Maize","Food Use","Million tonnes","2014/15","8.9"
"CBS","India","Maize","Food Use","Million tonnes","2013/14","8.9"
"CBS","India","Maize","Food Use","Million tonnes","2012/13","8.8"
"CBS","India","Maize","Food Use","Million tonnes","2011/12","8.6"
"CBS","India","Maize","Food Use","Million tonnes","2010/11","8.728"
"CBS","India","Maize","Food Use","Million tonnes","2009/10","8.478"
"CBS","India","Maize","Food Use","Million tonnes","2008/09","8.39534"
"CBS","India","Maize","Food Use","Million tonnes","2007/08","8.304677"
"CBS","India","Maize","Food Use","Million tonnes","2006/07","8.10948"
"CBS","India","Maize","Food Use","Million tonnes","2005/06","8.008184"
"CBS","India","Maize","Food Use","Million tonnes","2004/05","8.030976"
"CBS","India","Maize","Food Use","Million tonnes","2003/04","7.4508"
"CBS","India","Maize","Food Use","Million tonnes","2002/03","7.0696"
"CBS","India","Maize","Food Use","Million tonnes","2001/02","7.5796"
"CBS","India","Maize","Food Use","Million tonnes","2000/01","5.6409"
"CBS","India","Maize","Government Stocks","Million tonnes","2009/10","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2008/09","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2007/08","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2006/07","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2005/06","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2004/05","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2003/04","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2002/03","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2001/02","0.0"
"CBS","India","Maize","Government Stocks","Million tonnes","2000/01","0.0"
"CBS","India","Maize","Imports","Million tonnes","2018/19","0.03"
"CBS","India","Maize","Imports","Million tonnes","2017/18","0.02917"
"CBS","India","Maize","Imports","Million tonnes","2016/17","0.077498"
"CBS","India","Maize","Imports","Million tonnes","2015/16","0.1873"
"CBS","India","Maize","Imports","Million tonnes","2014/15","0.0040"
"CBS","India","Maize","Imports","Million tonnes","2013/14","0.0129"
"CBS","India","Maize","Imports","Million tonnes","2012/13","0.0039"
"CBS","India","Maize","Imports","Million tonnes","2011/12","0.0039"
"CBS","India","Maize","Imports","Million tonnes","2010/11","0.0163"
"CBS","India","Maize","Imports","Million tonnes","2009/10","0.01913"
"CBS","India","Maize","Imports","Million tonnes","2008/09","0.00728"
"CBS","India","Maize","Imports","Million tonnes","2007/08","0.0043"
"CBS","India","Maize","Imports","Million tonnes","2006/07","0.0020"
"CBS","India","Maize","Imports","Million tonnes","2005/06","0.0014"
"CBS","India","Maize","Imports","Million tonnes","2004/05","0.1"
"CBS","India","Maize","Imports","Million tonnes","2003/04","0.162"
"CBS","India","Maize","Imports","Million tonnes","2002/03","0.129"
"CBS","India","Maize","Imports","Million tonnes","2001/02","0.163"
"CBS","India","Maize","Imports","Million tonnes","2000/01","0.1777"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2018/19","0.04"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2017/18","0.04"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2016/17","0.077479"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2015/16","0.1868"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2014/15","0.0040"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2013/14","0.01"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2012/13","0.01"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2011/12","0.00388"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2010/11","0.01631"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2009/10","0.01913"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2008/09","0.00728"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2007/08","0.00427"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2006/07","0.0020"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2005/06","0.00141"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2004/05","0.1"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2003/04","0.162"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2002/03","0.129"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2001/02","0.163"
"CBS","India","Maize","Imports (NMY)","Million tonnes","2000/01","0.1777"
"CBS","India","Maize","Opening Stocks","Million tonnes","2018/19","1.541564"
"CBS","India","Maize","Opening Stocks","Million tonnes","2017/18","1.081564"
"CBS","India","Maize","Opening Stocks","Million tonnes","2016/17","0.921537"
"CBS","India","Maize","Opening Stocks","Million tonnes","2015/16","2.095857"
"CBS","India","Maize","Opening Stocks","Million tonnes","2014/15","1.523133"
"CBS","India","Maize","Opening Stocks","Million tonnes","2013/14","1.046821"
"CBS","India","Maize","Opening Stocks","Million tonnes","2012/13","2.059221"
"CBS","India","Maize","Opening Stocks","Million tonnes","2011/12","2.719364"
"CBS","India","Maize","Opening Stocks","Million tonnes","2010/11","2.691815"
"CBS","India","Maize","Opening Stocks","Million tonnes","2009/10","1.80825"
"CBS","India","Maize","Opening Stocks","Million tonnes","2008/09","1.433697"
"CBS","India","Maize","Opening Stocks","Million tonnes","2007/08","1.294847"
"CBS","India","Maize","Opening Stocks","Million tonnes","2006/07","1.708249"
"CBS","India","Maize","Opening Stocks","Million tonnes","2005/06","1.814231"
"CBS","India","Maize","Opening Stocks","Million tonnes","2004/05","1.8"
"CBS","India","Maize","Opening Stocks","Million tonnes","2003/04","0.7"
"CBS","India","Maize","Opening Stocks","Million tonnes","2002/03","1.2"
"CBS","India","Maize","Opening Stocks","Million tonnes","2001/02","0.9"
"CBS","India","Maize","Opening Stocks","Million tonnes","2000/01","0.67"
"CBS","India","Maize","Other Uses","Million tonnes","2018/19","6.5"
"CBS","India","Maize","Other Uses","Million tonnes","2017/18","6.3"
"CBS","India","Maize","Other Uses","Million tonnes","2016/17","6.2"
"CBS","India","Maize","Other Uses","Million tonnes","2015/16","5.5"
"CBS","India","Maize","Other Uses","Million tonnes","2014/15","4.5"
"CBS","India","Maize","Other Uses","Million tonnes","2013/14","3.5"
"CBS","India","Maize","Other Uses","Million tonnes","2012/13","3.0"
"CBS","India","Maize","Other Uses","Million tonnes","2011/12","3.13"
"CBS","India","Maize","Other Uses","Million tonnes","2010/11","3.11"
"CBS","India","Maize","Other Uses","Million tonnes","2009/10","2.0"
"CBS","India","Maize","Other Uses","Million tonnes","2008/09","2.87214"
"CBS","India","Maize","Other Uses","Million tonnes","2007/08","2.788443"
"CBS","India","Maize","Other Uses","Million tonnes","2006/07","2.37804"
"CBS","India","Maize","Other Uses","Million tonnes","2005/06","2.305703"
"CBS","India","Maize","Other Uses","Million tonnes","2004/05","2.235344"
"CBS","India","Maize","Other Uses","Million tonnes","2003/04","2.3062"
"CBS","India","Maize","Other Uses","Million tonnes","2002/03","1.845"
"CBS","India","Maize","Other Uses","Million tonnes","2001/02","2.04"
"CBS","India","Maize","Other Uses","Million tonnes","2000/01","1.2"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2018/19","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2017/18","7.1"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2016/17","6.9"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2015/16","6.9"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2014/15","6.9"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2013/14","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2012/13","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2011/12","6.9"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2010/11","7.1"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2009/10","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2008/09","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2007/08","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2006/07","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2005/06","7.0"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2004/05","7.1"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2003/04","6.7"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2002/03","6.5"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2001/02","7.1"
"CBS","India","Maize","Per Capita Food Use","Kg/Yr","2000/01","5.4"
"CBS","India","Maize","Production","Million tonnes","2018/19","28.5"
"CBS","India","Maize","Production","Million tonnes","2017/18","28.72"
"CBS","India","Maize","Production","Million tonnes","2016/17","25.9"
"CBS","India","Maize","Production","Million tonnes","2015/16","22.57"
"CBS","India","Maize","Production","Million tonnes","2014/15","24.17"
"CBS","India","Maize","Production","Million tonnes","2013/14","24.25951"
"CBS","India","Maize","Production","Million tonnes","2012/13","22.26"
"CBS","India","Maize","Production","Million tonnes","2011/12","21.76"
"CBS","India","Maize","Production","Million tonnes","2010/11","21.7258"
"CBS","India","Maize","Production","Million tonnes","2009/10","16.7195"
"CBS","India","Maize","Production","Million tonnes","2008/09","19.7314"
"CBS","India","Maize","Production","Million tonnes","2007/08","18.9554"
"CBS","India","Maize","Production","Million tonnes","2006/07","15.097"
"CBS","India","Maize","Production","Million tonnes","2005/06","14.7099"
"CBS","India","Maize","Production","Million tonnes","2004/05","14.18"
"CBS","India","Maize","Production","Million tonnes","2003/04","14.9843"
"CBS","India","Maize","Production","Million tonnes","2002/03","11.1517"
"CBS","India","Maize","Production","Million tonnes","2001/02","13.1602"
"CBS","India","Maize","Production","Million tonnes","2000/01","12.0432"
"CBS","India","Maize","Supply","Million tonnes","2018/19","30.041564"
"CBS","India","Maize","Supply","Million tonnes","2017/18","29.801564"
"CBS","India","Maize","Supply","Million tonnes","2016/17","26.821537"
"CBS","India","Maize","Supply","Million tonnes","2015/16","24.665857"
"CBS","India","Maize","Supply","Million tonnes","2014/15","25.693133"
"CBS","India","Maize","Supply","Million tonnes","2013/14","25.306331"
"CBS","India","Maize","Supply","Million tonnes","2012/13","24.319221"
"CBS","India","Maize","Supply","Million tonnes","2011/12","24.479364"
"CBS","India","Maize","Supply","Million tonnes","2010/11","24.417615"
"CBS","India","Maize","Supply","Million tonnes","2009/10","18.52775"
"CBS","India","Maize","Supply","Million tonnes","2008/09","21.165097"
"CBS","India","Maize","Supply","Million tonnes","2007/08","20.250247"
"CBS","India","Maize","Supply","Million tonnes","2006/07","16.805249"
"CBS","India","Maize","Supply","Million tonnes","2005/06","16.524131"
"CBS","India","Maize","Supply","Million tonnes","2004/05","15.98"
"CBS","India","Maize","Supply","Million tonnes","2003/04","15.6843"
"CBS","India","Maize","Supply","Million tonnes","2002/03","12.3517"
"CBS","India","Maize","Supply","Million tonnes","2001/02","14.0602"
"CBS","India","Maize","Supply","Million tonnes","2000/01","12.7132"
"CBS","India","Maize","Total Supply","Million tonnes","2018/19","30.081564"
"CBS","India","Maize","Total Supply","Million tonnes","2017/18","29.841564"
"CBS","India","Maize","Total Supply","Million tonnes","2016/17","26.899016"
"CBS","India","Maize","Total Supply","Million tonnes","2015/16","24.852657"
"CBS","India","Maize","Total Supply","Million tonnes","2014/15","25.697133"
"CBS","India","Maize","Total Supply","Million tonnes","2013/14","25.316331"
"CBS","India","Maize","Total Supply","Million tonnes","2012/13","24.329221"
"CBS","India","Maize","Total Supply","Million tonnes","2011/12","24.483244"
"CBS","India","Maize","Total Supply","Million tonnes","2010/11","24.433925"
"CBS","India","Maize","Total Supply","Million tonnes","2009/10","18.54688"
"CBS","India","Maize","Total Supply","Million tonnes","2008/09","21.172377"
"CBS","India","Maize","Total Supply","Million tonnes","2007/08","20.254517"
"CBS","India","Maize","Total Supply","Million tonnes","2006/07","16.807249"
"CBS","India","Maize","Total Supply","Million tonnes","2005/06","16.525541"
"CBS","India","Maize","Total Supply","Million tonnes","2004/05","16.08"
"CBS","India","Maize","Total Supply","Million tonnes","2003/04","15.8463"
"CBS","India","Maize","Total Supply","Million tonnes","2002/03","12.4807"
"CBS","India","Maize","Total Supply","Million tonnes","2001/02","14.2232"
"CBS","India","Maize","Total Supply","Million tonnes","2000/01","12.8909"
"CBS","India","Maize","Total Utilization","Million tonnes","2018/19","30.081564"
"CBS","India","Maize","Total Utilization","Million tonnes","2017/18","29.841564"
"CBS","India","Maize","Total Utilization","Million tonnes","2016/17","26.899016"
"CBS","India","Maize","Total Utilization","Million tonnes","2015/16","24.852657"
"CBS","India","Maize","Total Utilization","Million tonnes","2014/15","25.697133"
"CBS","India","Maize","Total Utilization","Million tonnes","2013/14","25.316331"
"CBS","India","Maize","Total Utilization","Million tonnes","2012/13","24.329221"
"CBS","India","Maize","Total Utilization","Million tonnes","2011/12","24.483244"
"CBS","India","Maize","Total Utilization","Million tonnes","2010/11","24.433925"
"CBS","India","Maize","Total Utilization","Million tonnes","2009/10","18.54688"
"CBS","India","Maize","Total Utilization","Million tonnes","2008/09","21.172377"
"CBS","India","Maize","Total Utilization","Million tonnes","2007/08","20.254517"
"CBS","India","Maize","Total Utilization","Million tonnes","2006/07","16.807249"
"CBS","India","Maize","Total Utilization","Million tonnes","2005/06","16.525541"
"CBS","India","Maize","Total Utilization","Million tonnes","2004/05","16.08"
"CBS","India","Maize","Total Utilization","Million tonnes","2003/04","15.8464"
"CBS","India","Maize","Total Utilization","Million tonnes","2002/03","12.4807"
"CBS","India","Maize","Total Utilization","Million tonnes","2001/02","14.2231"
"CBS","India","Maize","Total Utilization","Million tonnes","2000/01","12.8909"
"CBS","India","Maize","Utilization","Million tonnes","2018/19","28.5"
"CBS","India","Maize","Utilization","Million tonnes","2017/18","27.3"
"CBS","India","Maize","Utilization","Million tonnes","2016/17","25.3"
"CBS","India","Maize","Utilization","Million tonnes","2015/16","23.3"
"CBS","India","Maize","Utilization","Million tonnes","2014/15","22.4"
"CBS","India","Maize","Utilization","Million tonnes","2013/14","19.9"
"CBS","India","Maize","Utilization","Million tonnes","2012/13","18.3"
"CBS","India","Maize","Utilization","Million tonnes","2011/12","17.93"
"CBS","India","Maize","Utilization","Million tonnes","2010/11","18.338"
"CBS","India","Maize","Utilization","Million tonnes","2009/10","13.978"
"CBS","India","Maize","Utilization","Million tonnes","2008/09","16.76748"
"CBS","India","Maize","Utilization","Million tonnes","2007/08","16.09312"
"CBS","India","Maize","Utilization","Million tonnes","2006/07","14.98752"
"CBS","India","Maize","Utilization","Million tonnes","2005/06","14.313887"
"CBS","India","Maize","Utilization","Million tonnes","2004/05","13.81132"
"CBS","India","Maize","Utilization","Million tonnes","2003/04","13.5031"
"CBS","India","Maize","Utilization","Million tonnes","2002/03","11.7025"
"CBS","India","Maize","Utilization","Million tonnes","2001/02","12.9096"
"CBS","India","Maize","Utilization","Million tonnes","2000/01","11.9909"
"CBS","India","Maize","Yield","Tonnes/Ha","2018/19","3.0"
"CBS","India","Maize","Yield","Tonnes/Ha","2017/18","3.087"
"CBS","India","Maize","Yield","Tonnes/Ha","2016/17","2.689"
"CBS","India","Maize","Yield","Tonnes/Ha","2015/16","2.597"
"CBS","India","Maize","Yield","Tonnes/Ha","2014/15","2.611"
"CBS","India","Maize","Yield","Tonnes/Ha","2013/14","2.573"
"CBS","India","Maize","Yield","Tonnes/Ha","2012/13","2.556"
"CBS","India","Maize","Yield","Tonnes/Ha","2011/12","2.478"
"CBS","India","Maize","Yield","Tonnes/Ha","2010/11","2.54"
"CBS","India","Maize","Yield","Tonnes/Ha","2009/10","2.024"
"CBS","India","Maize","Yield","Tonnes/Ha","2008/09","2.414"
"CBS","India","Maize","Yield","Tonnes/Ha","2007/08","2.335"
"CBS","India","Maize","Yield","Tonnes/Ha","2006/07","1.912"
"CBS","India","Maize","Yield","Tonnes/Ha","2005/06","1.938"
"CBS","India","Maize","Yield","Tonnes/Ha","2004/05","1.908"
"CBS","India","Maize","Yield","Tonnes/Ha","2003/04","2.041"
"CBS","India","Maize","Yield","Tonnes/Ha","2002/03","1.681"
"CBS","India","Maize","Yield","Tonnes/Ha","2001/02","1.999"
